,Tournament,Date,Team_1,Team_2,Score_1,Score_2
0,2019-EUCRN,2019-08-03,PirU,Me & My Monkey,14,12
1,2019-EUCRN,2019-08-03,RealFive,Shadows,15,5
2,2019-EUCRN,2019-08-03,Sokol,Rampage,7,10
3,2019-EUCRN,2019-08-03,JuPiter,Flying Steps,9,8
4,2019-EUCRN,2019-08-03,RealFive,Rampage,15,11
5,2019-EUCRN,2019-08-03,Sokol,Shadows,15,12
6,2019-EUCRN,2019-08-03,PirU,Flying Steps,13,7
7,2019-EUCRN,2019-08-03,JuPiter,Me & My Monkey,15,10
8,2019-EUCRN,2019-08-03,PirU,JuPiter,11,15
9,2019-EUCRN,2019-08-03,Rampage,Shadows,15,10
10,2019-EUCRN,2019-08-03,RealFive,Sokol,12,10
11,2019-EUCRN,2019-08-03,Flying Steps,Me & My Monkey,6,12
12,2019-EUCRN,2019-08-04,RealFive,PirU,15,7
13,2019-EUCRN,2019-08-04,JuPiter,Rampage,8,11
14,2019-EUCRN,2019-08-04,Sokol,Flying Steps,12,13
15,2019-EUCRN,2019-08-04,Me & My Monkey,Shadows,9,15
16,2019-EUCRN,2019-08-04,RealFive,Rampage,15,1
17,2019-EUCRN,2019-08-04,PirU,JuPiter,9,10
18,2019-EUCRN,2019-08-04,Flying Steps,Shadows,11,9
19,2019-EUCRN,2019-08-04,Sokol,Me & My Monkey,14,10
20,2019-EUCRE,2019-08-23,THE BRIDGE,Gigolo,15,12
21,2019-EUCRE,2019-08-23,Uprising,thebigEZ,10,15
22,2019-EUCRE,2019-08-23,Yellow Block open,Catchup Graz,10,15
23,2019-EUCRE,2019-08-23,Cosmo Men,Prague Devils,9,15
24,2019-EUCRE,2019-08-23,FWD>>,Mojra,15,14
25,2019-EUCRE,2019-08-23,FUJ,Terrible Monkeys,15,9
26,2019-EUCRE,2019-08-23,Catchup Graz,Gigolo,15,10
27,2019-EUCRE,2019-08-23,THE BRIDGE,thebigEZ,11,15
28,2019-EUCRE,2019-08-23,Uprising,Yellow Block open,15,10
29,2019-EUCRE,2019-08-23,FWD>>,Terrible Monkeys,15,11
30,2019-EUCRE,2019-08-23,FUJ,Cosmo Men,15,12
31,2019-EUCRE,2019-08-23,Prague Devils,Mojra,15,14
32,2019-EUCRC,2019-08-24,Family Ultimate,Gentle Open,11,12
33,2019-EUCRC,2019-08-24,Mooncatchers,Frank N,13,11
34,2019-EUCRC,2019-08-24,Force Elektro 1,KFK - Copenhagen Frisbee Club,3,13
35,2019-EUCRC,2019-08-24,HELGTRE OPEN,Heidees,9,13
36,2019-EUCRC,2019-08-24,M.U.C.,KFK - Copenhagen Frisbee Club,13,9
37,2019-EUCRC,2019-08-24,Bad Skid,Gentle Open,13,8
38,2019-EUCRC,2019-08-24,Ragnarok,Frank N,12,9
39,2019-EUCRC,2019-08-24,7Schwaben,Heidees,7,13
40,2019-EUCRC,2019-08-24,M.U.C.,Force Elektro 1,13,6
41,2019-EUCRC,2019-08-24,7Schwaben,HELGTRE OPEN,13,9
42,2019-EUCRC,2019-08-24,Bad Skid,Family Ultimate,13,9
43,2019-EUCRC,2019-08-24,Ragnarok,Mooncatchers,9,13
44,2019-EUCRC,2019-08-24,Gentle Open,Frank N,13,10
45,2019-EUCRC,2019-08-24,Ragnarok,Family Ultimate,13,11
46,2019-EUCRC,2019-08-24,KFK - Copenhagen Frisbee Club,HELGTRE OPEN,13,3
47,2019-EUCRC,2019-08-24,7Schwaben,Force Elektro 1,13,5
48,2019-EUCRC,2019-08-24,Bad Skid,KFK - Copenhagen Frisbee Club,13,8
49,2019-EUCRC,2019-08-24,Mooncatchers,7Schwaben,9,13
50,2019-EUCRC,2019-08-24,M.U.C.,Gentle Open,13,12
51,2019-EUCRC,2019-08-24,Heidees,Ragnarok,13,10
52,2019-EUCRE,2019-08-24,Cosmo Men,Terrible Monkeys,9,15
53,2019-EUCRE,2019-08-24,FWD>>,Prague Devils,15,10
54,2019-EUCRE,2019-08-24,FUJ,Mojra,15,11
55,2019-EUCRE,2019-08-24,Uprising,Gigolo,15,5
56,2019-EUCRE,2019-08-24,THE BRIDGE,Catchup Graz,7,15
57,2019-EUCRE,2019-08-24,Yellow Block open,thebigEZ,14,15
58,2019-EUCRE,2019-08-24,FUJ,FWD>>,15,13
59,2019-EUCRE,2019-08-24,Cosmo Men,Mojra,15,14
60,2019-EUCRE,2019-08-24,Terrible Monkeys,Prague Devils,11,15
61,2019-EUCRE,2019-08-24,thebigEZ,Catchup Graz,15,8
62,2019-EUCRE,2019-08-24,Uprising,THE BRIDGE,9,15
63,2019-EUCRE,2019-08-24,Yellow Block open,Gigolo,15,10
64,2019-EUCRE,2019-08-24,FUJ,Prague Devils,15,11
65,2019-EUCRE,2019-08-24,FWD>>,Cosmo Men,15,13
66,2019-EUCRE,2019-08-24,Terrible Monkeys,Mojra,7,15
67,2019-EUCRE,2019-08-24,thebigEZ,Gigolo,15,6
68,2019-EUCRE,2019-08-24,THE BRIDGE,Yellow Block open,15,11
69,2019-EUCRE,2019-08-24,Uprising,Catchup Graz,13,15
70,2019-EUCRW,2019-08-24,Clapham Ultimate,BAF,15,4
71,2019-EUCRW,2019-08-24,Devon Ultimate,Fire of London,15,4
72,2019-EUCRW,2019-08-24,EMO 1,Rebel Ultimate,11,15
73,2019-EUCRW,2019-08-24,Ranelagh,XVI,15,12
74,2019-EUCRW,2019-08-24,Manchester Ultimate,Alba,5,15
75,2019-EUCRW,2019-08-24,YOpen,Chevron Action Flash,3,15
76,2019-EUCRW,2019-08-24,Brighton Open,Ka-Pow!,14,15
77,2019-EUCRW,2019-08-24,Bristol Open 1,PELT Ultimate,3,15
78,2019-EUCRW,2019-08-24,BAF,EMO 1,7,15
79,2019-EUCRW,2019-08-24,Manchester Ultimate,YOpen,13,14
80,2019-EUCRW,2019-08-24,Fire of London,Brighton Open,11,12
81,2019-EUCRW,2019-08-24,XVI,Bristol Open 1,15,6
82,2019-EUCRW,2019-08-24,Devon Ultimate,Ka-Pow!,15,9
83,2019-EUCRW,2019-08-24,Alba,Chevron Action Flash,12,13
84,2019-EUCRW,2019-08-24,Ranelagh,PELT Ultimate,12,9
85,2019-EUCRW,2019-08-24,Clapham Ultimate,Rebel Ultimate,15,6
86,2019-EUCRW,2019-08-24,Bristol Open 1,BAF,11,15
87,2019-EUCRW,2019-08-24,Fire of London,Manchester Ultimate,15,12
88,2019-EUCRW,2019-08-24,Alba,EMO 1,15,5
89,2019-EUCRW,2019-08-24,Rebel Ultimate,YOpen,15,5
90,2019-EUCRW,2019-08-24,Ka-Pow!,XVI,8,15
91,2019-EUCRW,2019-08-24,PELT Ultimate,Brighton Open,15,8
92,2019-EUCRW,2019-08-24,Clapham Ultimate,Ranelagh,15,4
93,2019-EUCRW,2019-08-24,Devon Ultimate,Chevron Action Flash,6,15
94,2019-EUCRC,2019-08-25,HELGTRE OPEN,Family Ultimate,13,12
95,2019-EUCRC,2019-08-25,Force Elektro 1,Frank N,9,13
96,2019-EUCRC,2019-08-25,KFK - Copenhagen Frisbee Club,Ragnarok,13,3
97,2019-EUCRC,2019-08-25,Mooncatchers,Gentle Open,13,7
98,2019-EUCRC,2019-08-25,Bad Skid,Heidees,13,11
99,2019-EUCRC,2019-08-25,7Schwaben,M.U.C.,6,13
100,2019-EUCRC,2019-08-25,HELGTRE OPEN,Frank N,9,13
101,2019-EUCRC,2019-08-25,Family Ultimate,Force Elektro 1,13,6
102,2019-EUCRC,2019-08-25,KFK - Copenhagen Frisbee Club,Mooncatchers,11,13
103,2019-EUCRC,2019-08-25,Ragnarok,Gentle Open,13,12
104,2019-EUCRC,2019-08-25,Bad Skid,M.U.C.,13,9
105,2019-EUCRC,2019-08-25,Heidees,7Schwaben,13,8
106,2019-EUCRE,2019-08-25,FUJ,Catchup Graz,15,11
107,2019-EUCRE,2019-08-25,thebigEZ,FWD>>,11,13
108,2019-EUCRE,2019-08-25,Prague Devils,Uprising,9,6
109,2019-EUCRE,2019-08-25,THE BRIDGE,Mojra,10,13
110,2019-EUCRE,2019-08-25,Catchup Graz,thebigEZ,0,1
111,2019-EUCRE,2019-08-25,Prague Devils,Mojra,12,14
112,2019-EUCRE,2019-08-25,Catchup Graz,Mojra,0,1
113,2019-EUCRW,2019-08-25,EMO 1,Ka-Pow!,15,13
114,2019-EUCRW,2019-08-25,YOpen,Brighton Open,10,15
115,2019-EUCRW,2019-08-25,Alba,XVI,15,13
116,2019-EUCRW,2019-08-25,PELT Ultimate,Rebel Ultimate,14,15
117,2019-EUCRW,2019-08-25,Bristol Open 1,Fire of London,14,15
118,2019-EUCRW,2019-08-25,Manchester Ultimate,BAF,15,10
119,2019-EUCRW,2019-08-25,Devon Ultimate,Ranelagh,7,15
120,2019-EUCRW,2019-08-25,Alba,Rebel Ultimate,15,13
121,2019-EUCRW,2019-08-25,Clapham Ultimate,Chevron Action Flash,15,10
122,2019-EUCRW,2019-08-25,EMO 1,Brighton Open,13,9
123,2019-EUCRW,2019-08-25,YOpen,Ka-Pow!,1,15
124,2019-EUCRW,2019-08-25,XVI,PELT Ultimate,13,14
125,2019-EUCRW,2019-08-25,Bristol Open 1,Manchester Ultimate,13,15
126,2019-EUCRW,2019-08-25,Fire of London,BAF,15,8
127,2019-EUCRW,2019-08-25,Devon Ultimate,Alba,10,15
128,2019-EUCRS,2019-08-31,Donkey Divers,Flying Angels Bern,11,15
129,2019-EUCRS,2019-08-31,Cusb Red Bulls,Iznogood,10,15
130,2019-EUCRS,2019-08-31,Freespeed,Tchac,15,10
131,2019-EUCRS,2019-08-31,CUSB La Fotta,Crazy Dogs I,15,8
132,2019-EUCRS,2019-08-31,Iznogood,Tchac,12,11
133,2019-EUCRS,2019-08-31,CUSB La Fotta,Cotarica Grandes,15,6
134,2019-EUCRS,2019-08-31,Freespeed,Panthers Bern,15,12
135,2019-EUCRS,2019-08-31,Flying Angels Bern,Crazy Dogs I,15,14
136,2019-EUCRS,2019-08-31,CUSB La Fotta,Flying Angels Bern,15,8
137,2019-EUCRS,2019-08-31,Freespeed,Iznogood,13,14
138,2019-EUCRS,2019-08-31,Cotarica Grandes,Donkey Divers,14,13
139,2019-EUCRS,2019-08-31,Panthers Bern,Cusb Red Bulls,11,15
140,2019-EUCRS,2019-09-01,Crazy Dogs I,Cotarica Grandes,15,10
141,2019-EUCRS,2019-09-01,Freespeed,Cusb Red Bulls,15,13
142,2019-EUCRS,2019-09-01,Tchac,Panthers Bern,11,15
143,2019-EUCRS,2019-09-01,CUSB La Fotta,Donkey Divers,15,7
144,2019-EUCRS,2019-09-01,Iznogood,Panthers Bern,15,7
145,2019-EUCRS,2019-09-01,Flying Angels Bern,Cotarica Grandes,15,6
146,2019-EUCRS,2019-09-01,Cusb Red Bulls,Tchac,13,11
147,2019-EUCRS,2019-09-01,Donkey Divers,Crazy Dogs I,11,15
148,2019-EUCRS,2019-09-01,CUSB La Fotta,Iznogood,15,6
149,2019-EUCRS,2019-09-01,Flying Angels Bern,Freespeed,13,14
150,2019-EUCRS,2019-09-01,Crazy Dogs I,Cusb Red Bulls,9,15
151,2019-EUCRS,2019-09-01,Cotarica Grandes,Panthers Bern,13,11
152,2019-EUCRS,2019-09-01,Donkey Divers,Tchac,9,15
153,2019-EUCF,2019-09-27,Cotarica Grandes,Heidees,15,10
154,2019-EUCF,2019-09-27,RealFive,Alba,14,15
155,2019-EUCF,2019-09-27,7Schwaben,KFK - Copenhagen Frisbee Club,15,14
156,2019-EUCF,2019-09-27,FUJ,Rampage,15,6
157,2019-EUCF,2019-09-27,Crazy Dogs I,M.U.C.,7,15
158,2019-EUCF,2019-09-27,CUSB La Fotta,Ranelagh,14,10
159,2019-EUCF,2019-09-27,Flying Angels Bern,Flying Steps,15,6
160,2019-EUCF,2019-09-27,Mojra,Freespeed,9,15
161,2019-EUCF,2019-09-27,thebigEZ,Chevron Action Flash,7,15
162,2019-EUCF,2019-09-27,Mooncatchers,Iznogood,15,11
163,2019-EUCF,2019-09-27,Cusb Red Bulls,Clapham Ultimate,9,15
164,2019-EUCF,2019-09-27,Bad Skid,FWD>>,15,9
165,2019-EUCF,2019-09-27,CUSB La Fotta,7Schwaben,15,8
166,2019-EUCF,2019-09-27,Cotarica Grandes,RealFive,15,14
167,2019-EUCF,2019-09-27,KFK - Copenhagen Frisbee Club,Ranelagh,14,15
168,2019-EUCF,2019-09-27,FUJ,Crazy Dogs I,15,8
169,2019-EUCF,2019-09-27,Alba,Heidees,15,13
170,2019-EUCF,2019-09-27,M.U.C.,Rampage,15,14
171,2019-EUCF,2019-09-27,Chevron Action Flash,Mooncatchers,15,10
172,2019-EUCF,2019-09-27,Clapham Ultimate,Freespeed,15,12
173,2019-EUCF,2019-09-27,Flying Angels Bern,Bad Skid,11,15
174,2019-EUCF,2019-09-27,FWD>>,Flying Steps,15,9
175,2019-EUCF,2019-09-27,thebigEZ,Iznogood,10,15
176,2019-EUCF,2019-09-27,Mojra,Cusb Red Bulls,8,15
177,2019-EUCF,2019-09-27,Ranelagh,7Schwaben,15,11
178,2019-EUCF,2019-09-27,FUJ,M.U.C.,14,15
179,2019-EUCF,2019-09-27,Heidees,RealFive,7,15
180,2019-EUCF,2019-09-27,Rampage,Crazy Dogs I,15,12
181,2019-EUCF,2019-09-27,CUSB La Fotta,KFK - Copenhagen Frisbee Club,15,8
182,2019-EUCF,2019-09-27,Cotarica Grandes,Alba,9,15
183,2019-EUCF,2019-09-27,Flying Angels Bern,FWD>>,13,15
184,2019-EUCF,2019-09-27,Mojra,Clapham Ultimate,9,15
185,2019-EUCF,2019-09-27,Freespeed,Cusb Red Bulls,10,15
186,2019-EUCF,2019-09-27,Flying Steps,Bad Skid,8,15
187,2019-EUCF,2019-09-27,Iznogood,Chevron Action Flash,9,15
188,2019-EUCF,2019-09-27,thebigEZ,Mooncatchers,13,15
189,2019-EUCF,2019-09-28,Chevron Action Flash,Cusb Red Bulls,15,10
190,2019-EUCF,2019-09-28,Alba,Ranelagh,15,14
191,2019-EUCF,2019-09-28,Cotarica Grandes,FWD>>,15,14
192,2019-EUCF,2019-09-28,Mooncatchers,FUJ,12,15
193,2019-EUCF,2019-09-28,Clapham Ultimate,Iznogood,15,8
194,2019-EUCF,2019-09-28,Bad Skid,Freespeed,15,8
195,2019-EUCF,2019-09-28,M.U.C.,RealFive,13,15
196,2019-EUCF,2019-09-28,CUSB La Fotta,Flying Angels Bern,15,11
197,2019-EUCF,2019-09-28,Clapham Ultimate,Cotarica Grandes,15,4
198,2019-EUCF,2019-09-28,7Schwaben,Mojra,15,11
199,2019-EUCF,2019-09-28,thebigEZ,Flying Steps,15,5
200,2019-EUCF,2019-09-28,Heidees,Crazy Dogs I,15,10
201,2019-EUCF,2019-09-28,CUSB La Fotta,FUJ,15,10
202,2019-EUCF,2019-09-28,Bad Skid,Chevron Action Flash,14,15
203,2019-EUCF,2019-09-28,RealFive,Alba,14,9
204,2019-EUCF,2019-09-28,Flying Angels Bern,Mooncatchers,15,11
205,2019-EUCF,2019-09-28,Iznogood,FWD>>,15,14
206,2019-EUCF,2019-09-28,Freespeed,Cusb Red Bulls,15,11
207,2019-EUCF,2019-09-28,M.U.C.,Ranelagh,13,14
208,2019-EUCF,2019-09-28,Rampage,KFK - Copenhagen Frisbee Club,15,14
209,2019-EUCF,2019-09-28,Mooncatchers,M.U.C.,15,8
210,2019-EUCF,2019-09-28,thebigEZ,7Schwaben,14,15
211,2019-EUCF,2019-09-28,Flying Angels Bern,Ranelagh,14,15
212,2019-EUCF,2019-09-28,Rampage,Heidees,12,14
213,2019-EUCF,2019-09-28,Cotarica Grandes,Bad Skid,11,15
214,2019-EUCF,2019-09-28,Clapham Ultimate,Chevron Action Flash,15,8
215,2019-EUCF,2019-09-28,CUSB La Fotta,RealFive,15,11
216,2019-EUCF,2019-09-28,FUJ,Alba,15,11
217,2019-EUCF,2019-09-28,Iznogood,Freespeed,13,14
218,2019-EUCF,2019-09-28,FWD>>,Cusb Red Bulls,14,15
219,2019-EUCF,2019-09-28,KFK - Copenhagen Frisbee Club,Crazy Dogs I,13,15
220,2019-EUCF,2019-09-28,Flying Steps,Mojra,15,13
221,2019-EUCF,2019-09-29,Alba,Cotarica Grandes,4,15
222,2019-EUCF,2019-09-29,Rampage,thebigEZ,8,15
223,2019-EUCF,2019-09-29,Crazy Dogs I,Flying Steps,15,8
224,2019-EUCF,2019-09-29,KFK - Copenhagen Frisbee Club,Mojra,15,8
225,2019-EUCF,2019-09-29,FUJ,Bad Skid,12,15
226,2019-EUCF,2019-09-29,RealFive,Chevron Action Flash,9,15
227,2019-EUCF,2019-09-29,Ranelagh,Freespeed,14,15
228,2019-EUCF,2019-09-29,Flying Angels Bern,Iznogood,15,10
229,2019-EUCF,2019-09-29,Mooncatchers,Cusb Red Bulls,14,15
230,2019-EUCF,2019-09-29,M.U.C.,FWD>>,13,15
231,2019-EUCF,2019-09-29,Heidees,7Schwaben,11,15
232,2019-EUCF,2019-09-29,CUSB La Fotta,Clapham Ultimate,15,7
233,Nottingham Windfarm,2019-06-01,Alba,Rebel Ultimate,15,6
234,Nottingham Windfarm,2019-06-01,Ka-Pow!,SMOG Open 1,14,13
235,Nottingham Windfarm,2019-06-01,Bristol Open 1,EMO 2,14,11
236,Nottingham Windfarm,2019-06-01,BLU,Birmingham Ultimate,11,15
237,Nottingham Windfarm,2019-06-01,Chevron Action Flash,Ranelagh,7,14
238,Nottingham Windfarm,2019-06-01,GB Men,Manchester Ultimate,15,1
239,Nottingham Windfarm,2019-06-01,Clapham Ultimate,Brighton Open,15,7
240,Nottingham Windfarm,2019-06-01,Reading Open 2,Kent Open,12,10
241,Nottingham Windfarm,2019-06-01,Rebel Ultimate 2,Red Open 1,12,13
242,Nottingham Windfarm,2019-06-01,Purple Cobras Open,ExeTour,12,11
243,Nottingham Windfarm,2019-06-01,Camden Ultimate,Leamington Lemmings Open,11,15
244,Nottingham Windfarm,2019-06-01,Reading Open 1,Ranelagh 2,9,14
245,Nottingham Windfarm,2019-06-01,Thundering Him,Flump,7,11
246,Nottingham Windfarm,2019-06-01,Glasgow Open 1,Ireland U24 Men,1,15
247,Nottingham Windfarm,2019-06-01,BAF,Fire of London,13,10
248,Nottingham Windfarm,2019-06-01,GB U24 Men,LLLeeds Open 1,15,7
249,Nottingham Windfarm,2019-06-01,Birmingham Ultimate 2,YOpen 2,15,5
250,Nottingham Windfarm,2019-06-01,Wight Wild Cards,South Wales Storm,8,13
251,Nottingham Windfarm,2019-06-01,Red Open 2,Rogue Pandas,2,15
252,Nottingham Windfarm,2019-06-01,Brixton Open,Curve Open,12,10
253,Nottingham Windfarm,2019-06-01,Plymouth Ultimate,St Albans Open,15,7
254,Nottingham Windfarm,2019-06-01,Flyght Club,Shake & Bake,10,15
255,Nottingham Windfarm,2019-06-01,Ka-Pow!,Devon Ultimate,13,14
256,Nottingham Windfarm,2019-06-01,Chevron Action Flash,GB Master Men,15,12
257,Nottingham Windfarm,2019-06-01,GB Men,EMO 1,15,1
258,Nottingham Windfarm,2019-06-01,Clapham Ultimate,PELT Ultimate,9,11
259,Nottingham Windfarm,2019-06-01,Reading Open 2,The Brown Open 1,8,13
260,Nottingham Windfarm,2019-06-01,Rebel Ultimate 2,Vision,12,10
261,Nottingham Windfarm,2019-06-01,Purple Cobras Open,YOpen,10,11
262,Nottingham Windfarm,2019-06-01,Camden Ultimate,Glasgow Open 2,12,8
263,Nottingham Windfarm,2019-06-01,Ranelagh 2,Ireland U24 Men,11,15
264,Nottingham Windfarm,2019-06-01,Reading Open 1,Glasgow Open 1,11,9
265,Nottingham Windfarm,2019-06-01,GB U24 Men,BAF,15,4
266,Nottingham Windfarm,2019-06-01,LLLeeds Open 1,Fire of London,7,11
267,Nottingham Windfarm,2019-06-01,Plymouth Ultimate,Oxford Open,7,13
268,Nottingham Windfarm,2019-06-01,Flyght Club,SCU 1,7,15
269,Nottingham Windfarm,2019-06-01,Devon Ultimate,SMOG Open 1,14,13
270,Nottingham Windfarm,2019-06-01,GB Master Men,Ranelagh,7,15
271,Nottingham Windfarm,2019-06-01,EMO 1,Manchester Ultimate,14,7
272,Nottingham Windfarm,2019-06-01,PELT Ultimate,Brighton Open,14,12
273,Nottingham Windfarm,2019-06-01,The Brown Open 1,Kent Open,15,6
274,Nottingham Windfarm,2019-06-01,Vision,Red Open 1,13,11
275,Nottingham Windfarm,2019-06-01,YOpen,ExeTour,12,9
276,Nottingham Windfarm,2019-06-01,Glasgow Open 2,Leamington Lemmings Open,5,15
277,Nottingham Windfarm,2019-06-01,Bristol Open 1,Birmingham Ultimate,11,12
278,Nottingham Windfarm,2019-06-01,Rebel Ultimate,Thundering Him,15,7
279,Nottingham Windfarm,2019-06-01,Alba,Flump,15,7
280,Nottingham Windfarm,2019-06-01,EMO 2,BLU,11,15
281,Nottingham Windfarm,2019-06-01,Birmingham Ultimate 2,South Wales Storm,15,7
282,Nottingham Windfarm,2019-06-01,YOpen 2,Wight Wild Cards,13,8
283,Nottingham Windfarm,2019-06-01,Brixton Open,Rogue Pandas,10,13
284,Nottingham Windfarm,2019-06-01,Curve Open,Red Open 2,15,5
285,Nottingham Windfarm,2019-06-01,Oxford Open,St Albans Open,15,6
286,Nottingham Windfarm,2019-06-01,SCU 1,Shake & Bake,7,11
287,Nottingham Windfarm,2019-06-01,Rebel Ultimate,Bristol Open 1,14,11
288,Nottingham Windfarm,2019-06-01,Flump,BLU,11,13
289,Nottingham Windfarm,2019-06-01,BAF,Reading Open 1,10,12
290,Nottingham Windfarm,2019-06-01,Fire of London,Ranelagh 2,11,10
291,Nottingham Windfarm,2019-06-01,Chevron Action Flash,PELT Ultimate,14,9
292,Nottingham Windfarm,2019-06-01,GB U24 Men,GB Master Men,15,8
293,Nottingham Windfarm,2019-06-01,Ireland U24 Men,Manchester Ultimate,18,8
294,Nottingham Windfarm,2019-06-01,Brighton Open,Alba,6,15
295,Nottingham Windfarm,2019-06-01,SMOG Open 1,Birmingham Ultimate,15,10
296,Nottingham Windfarm,2019-06-01,Devon Ultimate,EMO 1,15,7
297,Nottingham Windfarm,2019-06-01,Clapham Ultimate,Ranelagh,11,10
298,Nottingham Windfarm,2019-06-01,GB Men,Ka-Pow!,15,6
299,Nottingham Windfarm,2019-06-01,The Brown Open 1,Glasgow Open 1,15,9
300,Nottingham Windfarm,2019-06-01,Thundering Him,Rebel Ultimate 2,14,10
301,Nottingham Windfarm,2019-06-01,YOpen,EMO 2,8,14
302,Nottingham Windfarm,2019-06-01,LLLeeds Open 1,Leamington Lemmings Open,9,11
303,Nottingham Windfarm,2019-06-01,Reading Open 2,Camden Ultimate,3,15
304,Nottingham Windfarm,2019-06-01,Vision,Purple Cobras Open,8,15
305,Nottingham Windfarm,2019-06-01,ExeTour,Shake & Bake,13,6
306,Nottingham Windfarm,2019-06-01,Oxford Open,Glasgow Open 2,15,13
307,Nottingham Windfarm,2019-06-01,Birmingham Ultimate 2,Red Open 1,8,11
308,Nottingham Windfarm,2019-06-01,Kent Open,Rogue Pandas,14,13
309,Nottingham Windfarm,2019-06-01,Plymouth Ultimate,Curve Open,12,8
310,Nottingham Windfarm,2019-06-01,YOpen 2,SCU 1,2,15
311,Nottingham Windfarm,2019-06-01,South Wales Storm,Flyght Club,8,13
312,Nottingham Windfarm,2019-06-01,Red Open 2,Wight Wild Cards,8,13
313,Nottingham Windfarm,2019-06-01,St Albans Open,Brixton Open,15,7
314,Nottingham Windfarm,2019-06-02,SMOG Open 1,PELT Ultimate,9,12
315,Nottingham Windfarm,2019-06-02,EMO 1,Alba,6,15
316,Nottingham Windfarm,2019-06-02,Ireland U24 Men,Ranelagh,8,14
317,Nottingham Windfarm,2019-06-02,Ka-Pow!,GB U24 Men,6,15
318,Nottingham Windfarm,2019-06-02,Brixton Open,Red Open 2,15,6
319,Nottingham Windfarm,2019-06-02,South Wales Storm,Wight Wild Cards,13,4
320,Nottingham Windfarm,2019-06-02,YOpen,Camden Ultimate,5,13
321,Nottingham Windfarm,2019-06-02,LLLeeds Open 1,Purple Cobras Open,11,12
322,Nottingham Windfarm,2019-06-02,Vision,Kent Open,13,4
323,Nottingham Windfarm,2019-06-02,Reading Open 2,Red Open 1,8,15
324,Nottingham Windfarm,2019-06-02,SMOG Open 1,EMO 1,14,7
325,Nottingham Windfarm,2019-06-02,PELT Ultimate,Alba,6,12
326,Nottingham Windfarm,2019-06-02,Ranelagh,GB U24 Men,15,9
327,Nottingham Windfarm,2019-06-02,Ireland U24 Men,Ka-Pow!,12,9
328,Nottingham Windfarm,2019-06-02,Birmingham Ultimate 2,St Albans Open,7,8
329,Nottingham Windfarm,2019-06-02,Flyght Club,Rogue Pandas,6,11
330,Nottingham Windfarm,2019-06-02,Glasgow Open 2,SCU 1,7,14
331,Nottingham Windfarm,2019-06-02,Plymouth Ultimate,Shake & Bake,11,7
332,Nottingham Windfarm,2019-06-02,BLU,Manchester Ultimate,13,6
333,Nottingham Windfarm,2019-06-02,GB Master Men,Rebel Ultimate,15,7
334,Nottingham Windfarm,2019-06-02,Brighton Open,Fire of London,8,11
335,Nottingham Windfarm,2019-06-02,Reading Open 1,Birmingham Ultimate,5,14
336,Nottingham Windfarm,2019-06-02,Thundering Him,BAF,15,10
337,Nottingham Windfarm,2019-06-02,Ranelagh 2,EMO 2,15,5
338,Nottingham Windfarm,2019-06-02,Leamington Lemmings Open,Flump,8,15
339,Nottingham Windfarm,2019-06-02,Bristol Open 1,The Brown Open 1,15,3
340,Nottingham Windfarm,2019-06-02,GB Men,Clapham Ultimate,15,6
341,Nottingham Windfarm,2019-06-02,Chevron Action Flash,Devon Ultimate,15,5
342,Nottingham Windfarm,2019-06-02,Brixton Open,YOpen 2,11,5
343,Nottingham Windfarm,2019-06-02,Curve Open,Wight Wild Cards,14,4
344,Nottingham Windfarm,2019-06-02,YOpen,Rebel Ultimate 2,7,12
345,Nottingham Windfarm,2019-06-02,Glasgow Open 1,Purple Cobras Open,5,15
346,Nottingham Windfarm,2019-06-02,Vision,Oxford Open,15,9
347,Nottingham Windfarm,2019-06-02,Reading Open 2,ExeTour,4,15
348,Nottingham Windfarm,2019-06-02,Plymouth Ultimate,St Albans Open,7,9
349,Nottingham Windfarm,2019-06-02,Rogue Pandas,SCU 1,7,11
350,Nottingham Windfarm,2019-06-02,Shake & Bake,Birmingham Ultimate 2,11,6
351,Nottingham Windfarm,2019-06-02,Flyght Club,Glasgow Open 2,1,11
352,Nottingham Windfarm,2019-06-02,Manchester Ultimate,Rebel Ultimate,6,15
353,Nottingham Windfarm,2019-06-02,BLU,GB Master Men,7,15
354,Nottingham Windfarm,2019-06-02,Birmingham Ultimate,Fire of London,10,8
355,Nottingham Windfarm,2019-06-02,Reading Open 1,Brighton Open,14,10
356,Nottingham Windfarm,2019-06-02,YOpen 2,Red Open 2,9,7
357,Nottingham Windfarm,2019-06-02,South Wales Storm,Curve Open,6,12
358,Nottingham Windfarm,2019-06-02,Rebel Ultimate 2,Camden Ultimate,13,12
359,Nottingham Windfarm,2019-06-02,LLLeeds Open 1,Glasgow Open 1,13,10
360,Nottingham Windfarm,2019-06-02,Oxford Open,Kent Open,11,7
361,Nottingham Windfarm,2019-06-02,ExeTour,Red Open 1,15,9
362,Nottingham Windfarm,2019-06-02,Ka-Pow!,EMO 1,15,10
363,Nottingham Windfarm,2019-06-02,Ireland U24 Men,SMOG Open 1,10,8
364,Nottingham Windfarm,2019-06-02,Ranelagh,Alba,13,12
365,Nottingham Windfarm,2019-06-02,GB U24 Men,PELT Ultimate,6,12
366,Nottingham Windfarm,2019-06-02,BAF,EMO 2,11,9
367,Nottingham Windfarm,2019-06-02,Thundering Him,Ranelagh 2,11,13
